epoch,loss,lr,val_loss
0,0.003390042344108224,0.00051,0.0005811438313685358
1,0.00024364778073504567,0.00051,0.00044919198262505233
2,0.0001704089081613347,0.00051,0.00032282425672747195
3,0.00010875967564061284,0.00051,0.00022721724235452712
4,9.631116699893028e-05,0.00051,0.00023417222837451845
5,8.828523277770728e-05,0.00051,0.00020758906612172723
6,8.136638643918559e-05,0.00051,0.00016311559011228383
7,7.519264909205958e-05,0.00051,0.00018465673201717436
8,7.204892608569935e-05,0.00051,0.00015901101869530976
9,7.017244934104383e-05,0.00051,0.00018520346202421933
10,6.888568168506026e-05,0.00051,0.00015144539065659046
11,6.827685137977824e-05,0.00051,0.00015989218081813306
12,6.726107676513493e-05,0.00051,0.00014484593702945858
13,6.669289723504335e-05,0.00051,0.0001473291777074337
14,6.634269084315747e-05,0.00051,0.00014052196638658643
15,6.23358428128995e-05,0.000255,0.00015413499204441905
16,6.244910036912188e-05,0.000255,0.00015536422142758965
17,6.223450327524915e-05,0.000255,0.00014482816914096475
18,6.212501466507092e-05,0.000255,0.00015080126468092203
19,6.206252874108031e-05,0.000255,0.00015332124894484878
20,6.179563933983445e-05,0.000255,0.00014973408542573452
21,6.15662065683864e-05,0.000255,0.00014509732136502862
22,6.140908953966573e-05,0.000255,0.00014790092245675623
23,6.133136776043102e-05,0.000255,0.0001653868384892121
24,5.945036173216067e-05,0.0001275,0.0001558035728521645
25,5.940278060734272e-05,0.0001275,0.00015029108908493072
26,5.9261274145683274e-05,0.0001275,0.00014396515325643122
