epoch,loss,lr,val_loss
0,2854.10888671875,0.00051,112.18108367919922
1,65.54398345947266,0.00051,86.83602142333984
2,44.34257888793945,0.00051,55.3619270324707
3,36.145320892333984,0.00051,82.54096984863281
4,24.4355525970459,0.00051,48.516029357910156
5,21.593061447143555,0.00051,48.976844787597656
6,16.564891815185547,0.00051,40.75520324707031
7,13.078545570373535,0.00051,33.719661712646484
8,16.188762664794922,0.00051,72.711181640625
9,11.389142036437988,0.00051,33.808746337890625
10,10.577971458435059,0.00051,34.39580535888672
11,11.396066665649414,0.00051,33.133262634277344
12,7.333967208862305,0.00051,28.997146606445312
13,8.69367504119873,0.00051,33.533504486083984
14,7.789159297943115,0.00051,32.75481414794922
15,8.754876136779785,0.00051,30.683374404907227
16,7.083817481994629,0.00051,33.13824462890625
17,8.639864921569824,0.00051,31.573802947998047
18,8.098798751831055,0.00051,31.768957138061523
19,5.977663993835449,0.00051,37.62580871582031
20,8.64312744140625,0.00051,33.61163330078125
21,5.665369033813477,0.00051,35.93520736694336
22,4.255312919616699,0.000255,30.872289657592773
23,4.629293918609619,0.000255,30.724212646484375
24,4.1053619384765625,0.000255,31.2060546875
