epoch,loss,lr,val_loss
0,0.10071223974227905,0.00051,0.012260395102202892
1,0.009546560235321522,0.00051,0.007117976900190115
2,0.006758120376616716,0.00051,0.005581330973654985
3,0.005562655162066221,0.00051,0.005837142001837492
4,0.004978257697075605,0.00051,0.008410654962062836
5,0.004481044597923756,0.00051,0.004109778441488743
6,0.004181604832410812,0.00051,0.003927057608962059
7,0.004020320251584053,0.00051,0.003516046330332756
8,0.0038022338412702084,0.00051,0.0036883403081446886
9,0.003737722523510456,0.00051,0.0034199946094304323
10,0.0035679859574884176,0.00051,0.003158796112984419
11,0.003460856154561043,0.00051,0.003065788419917226
12,0.0033685658127069473,0.00051,0.0029275191482156515
13,0.0032542955595999956,0.00051,0.0029410840943455696
14,0.0031476242002099752,0.00051,0.0033525715116411448
15,0.0030737859196960926,0.00051,0.0027991102542728186
16,0.002948059933260083,0.00051,0.0027405768632888794
17,0.002916700206696987,0.00051,0.002558111445978284
18,0.002813612809404731,0.00051,0.0025731383357197046
19,0.002749646781012416,0.00051,0.002819779561832547
20,0.002693288493901491,0.00051,0.0024265404790639877
21,0.002629989292472601,0.00051,0.006865168455988169
22,0.0026214290410280228,0.00051,0.002559945685788989
23,0.0025292488280683756,0.00051,0.002389570465311408
24,0.002504021627828479,0.00051,0.002687803702428937
25,0.002495179418474436,0.00051,0.0038425952661782503
26,0.0024957414716482162,0.00051,0.0025377352721989155
27,0.002404364524409175,0.00051,0.0022523875813931227
28,0.0024188878014683723,0.00051,0.002417521085590124
29,0.0023791512940078974,0.00051,0.002442286815494299
30,0.0023916158825159073,0.00051,0.0024014594964683056
31,0.002351490780711174,0.00051,0.0025960232596844435
32,0.0023269904777407646,0.00051,0.00229301187209785
33,0.0023032748140394688,0.00051,0.0021640753839164972
34,0.002278994070366025,0.00051,0.0021410114131867886
35,0.002304112073034048,0.00051,0.0023231813684105873
36,0.0022583913523703814,0.00051,0.002299822634086013
37,0.002232536906376481,0.00051,0.0024783897679299116
38,0.002215125598013401,0.00051,0.002458765171468258
39,0.0022290991619229317,0.00051,0.0021256429608911276
40,0.002194973872974515,0.00051,0.0024296888150274754
41,0.0021907221525907516,0.00051,0.002479376969859004
42,0.0021772929467260838,0.00051,0.0023208351340144873
43,0.0021370998583734035,0.00051,0.002359891077503562
44,0.00198369356803596,0.000255,0.001968149561434984
